Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
I am departing from birmingham new street.|Can you confirm your desired travel day?
I would like to leave on wednesday|I show a train leaving birmingham new street at 17:40 and arriving at 20:23 on Wednesday.  Will this work for you?
That will, yes. Please make a booking for 5 people please.|I've booked your train tickets, and your reference number is A9NHSO9Y.
Thanks so much. I would also need a place to say. I am looking for something with 4 stars and has free wifi.|How about the cambridge belfry?  It has all the attributes you requested and a great name!  Maybe even a real belfry?
That sounds great, could you make a booking for me please?|What day would you like your booking for?
Please book it for Wednesday for 5 people and 5 nights, please.|Booking was successful. Reference number is : 5NAWGJDC.
Thank you, goodbye|Goodbye. If you think of anything else you need don't hesitate to contact us.
Hi. I'm looking for a hotel in the east.  The internet is not needed.|There are no hotels that do not have internet, but 7 which do have it. Do you have a specific price range you'd prefer?
no, but it should have free parking, please.|The Express by Holiday Inn Cambridge is in the area and has free parking, would you like more information?
Is that a guesthouse or a hotel? I'd really prefer a guesthouse.|It's a hotel. There are 5 guesthouses in the area. Do you prefer cheap or moderate for the price range?
The price doesn't really matter. I just need free parking. It doesn't really need to have internet though.|There are 5 guesthouses that have free parking. Should I book one of them for you?
Okay, none of them DON'T offer free wifi? If not, I'll need the address for one that does have wifi, please. Tell me about your favorite.|The allenbell is a guesthouse on the east.  The addres sis 517a coldham lane post code cb13js.
Great. Can you help me with a train as well? I'm looking to come in from Ely.|What is your destination? And do you have any preference for day, departure or arrival time?
I want to go from cambridge to ely, no preference for time but I need to book for 8 people.|There are trains that run every two hours every day starting at 5:50. Do you know what day you'd like to travel?
I'm looking for Wednesday , arrive by 11:30 for 8 people Please.|Booking was successful, the total fee is 35.2 GBP payable at the station. You reference number is 7ZCVR4Q3. Can I help you with anything else?
No, I don't need anything else right now.  Thank you for your assistance.  Good Bye.|Thank you and enjoy your visit. Have a great day.
I am looking for information about the City Centre North B and B hotel.  Can you help me with that?|Yes! City Centre North B and B is an inexpensively-priced guesthouse in the north of town at 328A Histon Road. Would you like to book a room?
Yes can I book it for 6 people starting on Saturday for 4 nights please?|They weren't able to accommodate those parameters. Would you like to try a shorter stay?
Sure.  Let's try 2 nights.  Thanks. I'll need a reference number, too, please.|The booking for City Centre North B&B has been made, your reference number is 0FAFY5PP.
Great! I also need a train from bishops stortford to cambridge, please.|I can find one for you. Can you tell me what day you would like to travel, please?
The train should arrive by 14:45 and should be on the same day as the hotel booking.|Great, I recommend train TR5108.  It departs at 13:29 and will get you there by 14:07.  Would you like me to book it?
Please book that train for me now.|Certainly! How many tickets would you like?
I need 6 tickets for the same day.|Booking was successful, the total fee is 48.48 GBP payable at the station . Reference number is : GSTIN0L6.
That's all I need today, thank you.|You're welcome! Lovely day to you.
Hi I am looking for a train to arrive in Cambridge by 08:15.|Certainly, where will you be departing from?
I'll be leaving from Bishops Stortford on Monday.|It look like the TR0532 is what you are looking for departing Bishops Stortford at 7:29 and arriving in Cambridge at 8:07. Would you like to book?
What is the price for that trip?|The fare is 10.10 GBP per ticket.
I need to make a booking for 2 people and can you find me a place to stay in the north?|I've booked your tickets for the 7:29 train from Bishops Stortford, reference ZHT6R80S. Can you give me more information about the type of hotel you'd like?
I need a cheap hotel with free parking.|There are 10 total hotels, do you have a preference for area?
I would prefer the hotel be in the north part of town.|City centre north b and b and Worth house are both guesthouses and located in the north. Would you like me to book one for you?
I don't need to book today, thanks. Can you get me the postcode of one of them? Oh, and please make sure the one you choose has internet!|The postcode for Worth House is cb41da and yes, it has internet!
I will go ahead an book at the Worth House.|OK, great. will it be the same two people as on the train and starting on Monday? or do you have different needs for lodging?
Nope, same people.|I'd be happy to book that for you, what day will you be arriving on, and for how many nights?
1 person 5 nights please|Could you clarify if you need the reservation for 1 or 2 people please?
I need reservations for 2.|Okay let me see if I can book that for you.
Actually, I'm all set. Thank you! Bye!|Okay you sure you will not require a booking?
I'm so hungry - can you find me a place to eat in the city centre?|I'm happy to help! There are a great deal of restaurants there. What type of food did you have in mind?
I do not not care, it just needs to be expensive.|fitzbillies restaurant serves british food would that be okay?
Yes, may I have the address?|Sure, they're located at 51 Trumpington Street City Centre. Can I help you with anything else today?
Yes, can you help me find a train that can take me from Cambridge to Norwich?|Certainly. Can you tell me what day you would like to travel?
the train should arrive by 13:45 and book for 6 people and give me the reference number please|I'd be happy to, but can you tell me which day you'd like to travel on?
The train should leave on thursday.|The one closest to your desired arrive by time will arrive at 12:55 and depart at 11:36.  Would you like me to book this for you?
Yes, please. Could I have the reference number as well?|I was able to book you 6 tickets for that train. Your reference number is  PSQ9JOOI. Is there anything else I can help with?
No, I do not think so. Thank you for your help.|Okay great, have a good day!
I am looking for information in Cambridge.|Sure, what do you need to know?
I would like to book a reservation at Caffe Uno.|What day and time do you need the reservation for? And how many people in your group?
I need the reservation for 1 person for Friday at 10:15.|Your booking was successful and your table has been reserved! Your reference number is 3UH2KQDP. Can I do anything else for you today?
Yes, I need a train on Friday also, going into Cambridge.|Ok, where from and what time do you want to arrive by?
I am leaving peterborough and want to get to cambridge by 08:15|I can put you on the tr0035 it will get you there by 08:09. How many tickets do you need?
Just one.  Can I get the reference number for that?|Your reference number is E75VHN9I and 16.5 pounds will be payable at the station. Anything else I can do for you?
Yes, could you please email or fax me the fare amount, as well as the reference number?|it will cost you 16.50 pounds and the Reference number is : E75VHN9I.
Thank you. That is all that I need.|Welcome, it was a pleasure serving you.
I am looking for a restaurant that sell seafood,will prefer one in the center of the city.|I'm sorry, there seems to be an error. Can you please restate your request?
I would like a train into Cambridge from Stevenage.|Is there a specific day and time you would like to travel at?
Yes, I'd like to travel on Wednesday. I'll need to arrive by 8:00.|The TR9448 arrives at 06:43. Would you like me to book a ticket for you?
Yes, please book 7 seats.|All set. You are booked for 7 people on TR9448. You reference number is B1Q6DDTE. Can I help with anything else?
Yes, I need a hotel as well.|ok for how many people and when are you planning your stay?
Whoa whoa, easy there tiger, Lets narrow the search down first.  In the center, 0 stars, cheap and it can be a hotel or guesthouse.|How about el shaddai? Fits your request perfectly.
Is El Shaddai a guest house or hotel?|El Shaddai is a guesthouse. Anything other questions about them?
Do they have parking?|Yes, they have free parking. Would you like me to book you a room?
No, I don't need to. I was just curious about it. Thank you for all of your help.|Okay, is there anything else I can help you with?
Yes I need a chinese restaurant.|ok what location?
It should be in the same area?|i only have one option can i book it for you?
No, I don't need a chinese restaurant after all. Thanks for looking.|OK. Is there anything else I can help you with today?
No. That's everything I needed and then some, actually! Thanks, take care!|Thank you for calling.  Have a great day!
I need to find a train that leaves on Saturday and arrives by 08:45|Can you tell me what your departure city and destination are?
I'll be leaving Cambridge to get to Ely.|TR5344 arrives by 7:50. Does that work for you?
Yes, can you book that for 7?|Booking was successful, the total fee is 24.64 GBP payable at the station, you reference number is NUECBTHH. Will that be all?
Are there anything fun to do in city centre?|My favorite attraction in the centre of the city is a concert hall called Man on the Moon. It is amazing! They are at 2 Norfolk Street.
what is their postcode?|cb12lf. Is there anything else you need?
That's it.  Thank you.|You're very welcome! Have a great day!
I'm looking for a train schedule after 15:15, going to Cambridge.|There are several trains available for you. Where are you departing from and what day would you prefer?
i'm leaving from broxbourne to leave on saturday after 15:15|Is there a time you would prefer to arrive?
No, but I would like the booking made for two people.|Booking was successful, the total fee is 35.79 GBP payable at the station . Reference number is : N5FLMFK9. Anything else you need?
Yes, are there any italian restaurants in the center of town?|Yes I have pizza hut city centre located at regent street city centre.  Would you like to make a table reservation?
Yes please. Can you book it for Saturday at 19:45 for 2 and get me a reference number?|I'm sorry, they didn't have that time available. Would you like to try a different time or a different day?
Yes, can you try for 18:45 instead?|Sure thing! Your reference number is D1CJSO6Z.
Thank you for your help!|Did you need any further assistance today?
That is all, thanks again.|I'm glad we could help. Have a nice day.
Can you help me find some Thai food to eat tonight?|What area of town would you prefer?
I don't care where, just as long as it's expensive!|Understood. You have a choice between Sala Thong and Bangkok City.
