am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
no, i just need to make sure it's cheap. oh, and i need parking|I found 1 cheap hotel for you that includes parking. Do you like me to book it?
Yes, please. 6 people 3 nights starting on tuesday.|I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
how about only 2 nights.|Booking was successful.
Reference number is : 7GAWK763. Anything else I can do for you?
No, that will be all. Good bye.|Thank you for using our services.
Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
I am departing from birmingham new street.|Can you confirm your desired travel day?
I would like to leave on wednesday|I show a train leaving birmingham new street at 17:40 and arriving at 20:23 on Wednesday.  Will this work for you?
That will, yes. Please make a booking for 5 people please.|I've booked your train tickets, and your reference number is A9NHSO9Y.
Thanks so much. I would also need a place to say. I am looking for something with 4 stars and has free wifi.|How about the cambridge belfry?  It has all the attributes you requested and a great name!  Maybe even a real belfry?
That sounds great, could you make a booking for me please?|What day would you like your booking for?
Please book it for Wednesday for 5 people and 5 nights, please.|Booking was successful. Reference number is : 5NAWGJDC.
Thank you, goodbye|Goodbye. If you think of anything else you need don't hesitate to contact us.
Hi. I'm looking for a hotel in the east.  The internet is not needed.|There are no hotels that do not have internet, but 7 which do have it. Do you have a specific price range you'd prefer?
no, but it should have free parking, please.|The Express by Holiday Inn Cambridge is in the area and has free parking, would you like more information?
Is that a guesthouse or a hotel? I'd really prefer a guesthouse.|It's a hotel. There are 5 guesthouses in the area. Do you prefer cheap or moderate for the price range?
The price doesn't really matter. I just need free parking. It doesn't really need to have internet though.|There are 5 guesthouses that have free parking. Should I book one of them for you?
Okay, none of them DON'T offer free wifi? If not, I'll need the address for one that does have wifi, please. Tell me about your favorite.|The allenbell is a guesthouse on the east.  The addres sis 517a coldham lane post code cb13js.
Great. Can you help me with a train as well? I'm looking to come in from Ely.|What is your destination? And do you have any preference for day, departure or arrival time?
I want to go from cambridge to ely, no preference for time but I need to book for 8 people.|There are trains that run every two hours every day starting at 5:50. Do you know what day you'd like to travel?
I'm looking for Wednesday , arrive by 11:30 for 8 people Please.|Booking was successful, the total fee is 35.2 GBP payable at the station. You reference number is 7ZCVR4Q3. Can I help you with anything else?
No, I don't need anything else right now.  Thank you for your assistance.  Good Bye.|Thank you and enjoy your visit. Have a great day.
I need to take a train from Norwich, leaving after 21:15.|Where would you like to go to?
I would like to go to Ely please.|I don't have any listings for trains leaving Norwich and arriving in Ely. Would you like to try a different departure station?
I meant Cambridge please. I would like to arrive in Cambridge on Monday after 21:15.|Ok I will book that for you and get you a confirmation number
