Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
I am departing from birmingham new street.|Can you confirm your desired travel day?
I would like to leave on wednesday|I show a train leaving birmingham new street at 17:40 and arriving at 20:23 on Wednesday.  Will this work for you?
That will, yes. Please make a booking for 5 people please.|I've booked your train tickets, and your reference number is A9NHSO9Y.
Thanks so much. I would also need a place to say. I am looking for something with 4 stars and has free wifi.|How about the cambridge belfry?  It has all the attributes you requested and a great name!  Maybe even a real belfry?
That sounds great, could you make a booking for me please?|What day would you like your booking for?
Please book it for Wednesday for 5 people and 5 nights, please.|Booking was successful. Reference number is : 5NAWGJDC.
Thank you, goodbye|Goodbye. If you think of anything else you need don't hesitate to contact us.
Hi. I'm looking for a hotel in the east.  The internet is not needed.|There are no hotels that do not have internet, but 7 which do have it. Do you have a specific price range you'd prefer?
no, but it should have free parking, please.|The Express by Holiday Inn Cambridge is in the area and has free parking, would you like more information?
Is that a guesthouse or a hotel? I'd really prefer a guesthouse.|It's a hotel. There are 5 guesthouses in the area. Do you prefer cheap or moderate for the price range?
The price doesn't really matter. I just need free parking. It doesn't really need to have internet though.|There are 5 guesthouses that have free parking. Should I book one of them for you?
Okay, none of them DON'T offer free wifi? If not, I'll need the address for one that does have wifi, please. Tell me about your favorite.|The allenbell is a guesthouse on the east.  The addres sis 517a coldham lane post code cb13js.
Great. Can you help me with a train as well? I'm looking to come in from Ely.|What is your destination? And do you have any preference for day, departure or arrival time?
I want to go from cambridge to ely, no preference for time but I need to book for 8 people.|There are trains that run every two hours every day starting at 5:50. Do you know what day you'd like to travel?
I'm looking for Wednesday , arrive by 11:30 for 8 people Please.|Booking was successful, the total fee is 35.2 GBP payable at the station. You reference number is 7ZCVR4Q3. Can I help you with anything else?
No, I don't need anything else right now.  Thank you for your assistance.  Good Bye.|Thank you and enjoy your visit. Have a great day.
I need to take a train from Norwich, leaving after 21:15.|Where would you like to go to?
I would like to go to Ely please.|I don't have any listings for trains leaving Norwich and arriving in Ely. Would you like to try a different departure station?
I meant Cambridge please. I would like to arrive in Cambridge on Monday after 21:15.|Ok I will book that for you and get you a confirmation number
I don't need anything booked.  I just need to get the arrival time, travel time and price of a train from norwich to cambridge leaving after 21:15.|There are trains arriving at 22:35, 23:35 and 24:35. They are 17.60 pounds and 79 minutes each.
Great, thanks! I'm also looking for a 4 star hotel in the north. Can you please help with that?|There are several that meet your criteria. Is there a price range you are interested in?
I would like to keep it in the moderate range, please.|I see 7 options. They are all guesthouses. Do you have preferences for internet and parking?
I do not have a preference on those things.|Shall I try to start and book you into one?
Please book it and provide the reference number.|How many nights will you be staying?
Please book the hotel for 4 people and 2 nights.  Thank you.|What day will you be arriving?
the same day... monday please.|I apologize, some of our new workers have phobias of the booking system, I booked you at Acorn guest house, the reference number is 04CSEO7Q any other questions?
That's all I need for today.  Thanks for your help!|I'm happy to help, and I hope you enjoy your stay!
I need to take a train out of Cambridge, I will be leaving town on Wednesday.|There are 5 trains out of Cambridge on Wednesday. Do you have a departure time in mind?
I'd like to go to peterborough and leave after 12:45, I have to attend a meeting beforehand.|TR1879 leaves at 13:06 on Wednesday.  Will that work for you?
What is the price of the fair and could you tell me what is the arrival time into Peterborough?|The price is 16.50 pounds and the train will arrive in Peterborough by 13:56 Wednesday.  Would you like me to book a ticket for you?
Yes, one ticket please, can I also get the reference number?|I booked you one seat on TR1879 departing Cambridge for Peterborough on Wednesday at 13:06, Reference: xu1qlhvw. Can I help further today?
I am also looking for a museum in centre. Could you give me the address, postcode and phone number of one?|The Broughton House Gallery is located at 98 King Street, postcode cb11ln. Their phone number is 01223314960. Is there anything else you need?
That's all I need right now. Thanks, you have been very helpful!|You're welcome, I hope you enjoy your time in Cambridge!
I am looking for information about the City Centre North B and B hotel.  Can you help me with that?|Yes! City Centre North B and B is an inexpensively-priced guesthouse in the north of town at 328A Histon Road. Would you like to book a room?
Yes can I book it for 6 people starting on Saturday for 4 nights please?|They weren't able to accommodate those parameters. Would you like to try a shorter stay?
Sure.  Let's try 2 nights.  Thanks. I'll need a reference number, too, please.|The booking for City Centre North B&B has been made, your reference number is 0FAFY5PP.
Great! I also need a train from bishops stortford to cambridge, please.|I can find one for you. Can you tell me what day you would like to travel, please?
The train should arrive by 14:45 and should be on the same day as the hotel booking.|Great, I recommend train TR5108.  It departs at 13:29 and will get you there by 14:07.  Would you like me to book it?
Please book that train for me now.|Certainly! How many tickets would you like?
I need 6 tickets for the same day.|Booking was successful, the total fee is 48.48 GBP payable at the station .
Reference number is : GSTIN0L6.
That's all I need today, thank you.|You're welcome! Lovely day to you.
Hi I am looking for a train to arrive in Cambridge by 08:15.|Certainly, where will you be departing from?
I'll be leaving from Bishops Stortford on Monday.|It look like the TR0532 is what you are looking for departing Bishops Stortford at 7:29 and arriving in Cambridge at 8:07. Would you like to book?
What is the price for that trip?|The fare is 10.10 GBP per ticket.
I need to make a booking for 2 people and can you find me a place to stay in the north?|I've booked your tickets for the 7:29 train from Bishops Stortford, reference ZHT6R80S. Can you give me more information about the type of hotel you'd like?
I need a cheap hotel with free parking.|There are 10 total hotels, do you have a preference for area?
I would prefer the hotel be in the north part of town.|City centre north b and b and Worth house are both guesthouses and located in the north. Would you like me to book one for you?
I don't need to book today, thanks. Can you get me the postcode of one of them? Oh, and please make sure the one you choose has internet!|The postcode for Worth House is cb41da and yes, it has internet!
I will go ahead an book at the Worth House.|OK, great. will it be the same two people as on the train and starting on Monday? or do you have different needs for lodging?
Nope, same people.|I'd be happy to book that for you, what day will you be arriving on, and for how many nights?
1 person 5 nights please|Could you clarify if you need the reservation for 1 or 2 people please?
I need reservations for 2.|Okay let me see if I can book that for you.
Actually, I'm all set. Thank you! Bye!|Okay you sure you will not require a booking?
I'm so hungry - can you find me a place to eat in the city centre?|I'm happy to help! There are a great deal of restaurants there. What type of food did you have in mind?
I do not not care, it just needs to be expensive.|fitzbillies restaurant serves british food would that be okay?
Yes, may I have the address?|Sure, they're located at 51 Trumpington Street City Centre. Can I help you with anything else today?
Yes, can you help me find a train that can take me from Cambridge to Norwich?|Certainly. Can you tell me what day you would like to travel?
the train should arrive by 13:45 and book for 6 people and give me the reference number please|I'd be happy to, but can you tell me which day you'd like to travel on?
The train should leave on thursday.|The one closest to your desired arrive by time will arrive at 12:55 and depart at 11:36.  Would you like me to book this for you?
Yes, please. Could I have the reference number as well?|I was able to book you 6 tickets for that train. Your reference number is  PSQ9JOOI. Is there anything else I can help with?
No, I do not think so. Thank you for your help.|Okay great, have a good day!
I am looking for information in Cambridge.|Sure, what do you need to know?
I would like to book a reservation at Caffe Uno.|What day and time do you need the reservation for? And how many people in your group?
I need the reservation for 1 person for Friday at 10:15.|Your booking was successful and your table has been reserved! Your reference number is 3UH2KQDP. Can I do anything else for you today?
Yes, I need a train on Friday also, going into Cambridge.|Ok, where from and what time do you want to arrive by?
I am leaving peterborough and want to get to cambridge by 08:15|I can put you on the tr0035 it will get you there by 08:09. How many tickets do you need?
Just one.  Can I get the reference number for that?|Your reference number is E75VHN9I and 16.5 pounds will be payable at the station. Anything else I can do for you?
Yes, could you please email or fax me the fare amount, as well as the reference number?|it will cost you 16.50 pounds and the Reference number is : E75VHN9I.
Thank you. That is all that I need.|Welcome, it was a pleasure serving you.
Greetings, I need a train leaving on Saturday after 19:45.|There is a train leaving out of cambridge on saturday at 21:00 for 18.88 punds.
Is it going to broxbourne?  That is where I am heading.|Actually yes! TR5975 leaves from broxbourne at 21:01. It's 14.32 pounds. Does that work?
Yes, that works just fine, can you please book me a reservation?|Of course, how many tickets would you like me to book?
Just one, please. I'm also looking for colleges in the centre of town.|Your train has been booked with ref. num. WIDHBP94. Sure, information on colleges: There are 13 in the central district; do you want one with free entry? Religious or secular?
I just am looking for one in the centre, can I get the phone number of one?|Yes. Downing college is free and the phone number is 01223334860.
Ok, thank you, that will be all I need for now.|You are very welcome. Have a safe trip!
